measuredAt,value
2025-05-16T08:29:56.390464+00:00,0.0
2025-05-16T08:30:06.281509+00:00,0.0
2025-05-16T09:30:06.278293+00:00,0.0
2025-05-16T10:30:06.278365+00:00,0.0
2025-05-16T11:30:06.284253+00:00,0.0
2025-05-16T12:30:06.354762+00:00,0.0
2025-05-16T13:30:06.279657+00:00,0.0
2025-05-16T14:30:06.268960+00:00,0.0
2025-05-16T15:30:06.279842+00:00,0.0
2025-05-16T16:30:06.295996+00:00,0.0
2025-05-16T17:30:06.285768+00:00,0.0
2025-05-16T18:30:06.282044+00:00,0.0
2025-05-16T19:30:06.313728+00:00,0.0
2025-05-16T20:30:06.295277+00:00,0.0
2025-05-16T21:30:06.351374+00:00,0.0
2025-05-16T22:30:06.282133+00:00,0.0
2025-05-16T23:30:06.284765+00:00,0.0
2025-05-17T00:30:06.280062+00:00,0.0
2025-05-17T01:30:06.280103+00:00,0.0
2025-05-17T02:30:06.299209+00:00,0.0
2025-05-17T03:30:06.289190+00:00,0.0
2025-05-17T04:30:06.281842+00:00,0.0
2025-05-17T05:30:06.281848+00:00,0.0
2025-05-17T06:30:06.273816+00:00,0.0
2025-05-17T07:30:06.283140+00:00,0.0
2025-05-17T08:30:06.277918+00:00,0.0
2025-05-17T09:30:06.289738+00:00,0.0
2025-05-17T10:30:06.337100+00:00,0.0
2025-05-17T11:30:06.421225+00:00,0.0
2025-05-17T12:30:06.342273+00:00,0.0
2025-05-17T13:30:06.337791+00:00,0.0
2025-05-17T14:30:06.455307+00:00,0.0
2025-05-17T15:30:06.307409+00:00,0.0
2025-05-17T16:30:06.276248+00:00,0.0
2025-05-17T17:30:06.289534+00:00,0.0
2025-05-17T18:30:06.286612+00:00,0.0
2025-05-17T19:30:06.290449+00:00,0.0
2025-05-17T20:30:06.286066+00:00,1.524
2025-05-17T21:30:06.292389+00:00,0.0
2025-05-17T22:30:06.275676+00:00,0.0
2025-05-17T23:30:06.303946+00:00,0.0
2025-05-18T00:30:06.338174+00:00,0.0
2025-05-18T01:30:06.300818+00:00,0.0
2025-05-18T03:30:06.286679+00:00,0.0
2025-05-18T04:30:06.266724+00:00,0.0
2025-05-18T05:30:06.287608+00:00,0.0
2025-05-18T06:30:06.297747+00:00,0.0
2025-05-18T07:30:06.286921+00:00,0.0
2025-05-18T08:30:06.319396+00:00,0.0
2025-05-18T09:30:06.264646+00:00,0.0
2025-05-18T10:30:06.278619+00:00,0.0
2025-05-18T11:30:06.278177+00:00,0.0
2025-05-18T12:30:06.273585+00:00,0.0
2025-05-18T13:30:06.294092+00:00,0.0
2025-05-18T14:30:06.289313+00:00,0.0
2025-05-18T15:30:06.276804+00:00,0.0
2025-05-18T16:30:06.356214+00:00,0.0
2025-05-18T17:30:06.278909+00:00,0.0
2025-05-18T18:30:06.270104+00:00,0.0
2025-05-18T19:30:06.293354+00:00,0.0
2025-05-18T20:30:06.279363+00:00,0.0
2025-05-18T21:30:06.285237+00:00,0.0
2025-05-18T22:30:06.283774+00:00,0.0
2025-05-18T23:30:06.285037+00:00,0.0
2025-05-19T00:30:06.298326+00:00,0.0
2025-05-19T01:30:06.268872+00:00,0.0
2025-05-19T02:30:06.278975+00:00,0.0
2025-05-19T03:30:06.354010+00:00,0.0
2025-05-19T04:30:06.276809+00:00,0.0
2025-05-19T05:30:06.298438+00:00,0.0
2025-05-19T06:30:06.344536+00:00,0.0
2025-05-19T07:30:06.285934+00:00,0.0
2025-05-19T09:30:06.335514+00:00,0.0
2025-05-19T10:30:06.298196+00:00,0.0
2025-05-19T11:30:06.285905+00:00,0.0
2025-05-19T12:30:06.300270+00:00,0.0
2025-05-19T13:30:06.306312+00:00,0.0
2025-05-19T14:30:06.302276+00:00,0.0
2025-05-19T15:30:06.298371+00:00,0.0
2025-05-19T16:30:06.307227+00:00,0.0
2025-05-19T17:30:06.281702+00:00,0.0
2025-05-19T18:30:06.348443+00:00,0.0
2025-05-19T19:30:06.300312+00:00,0.0
2025-05-19T20:30:06.291922+00:00,0.0
2025-05-19T21:30:06.275874+00:00,0.0
2025-05-19T22:30:06.297701+00:00,0.0
2025-05-19T23:30:06.292135+00:00,0.0
2025-05-20T00:30:06.272095+00:00,0.0
2025-05-20T01:30:06.284129+00:00,0.0
2025-05-20T02:30:06.271005+00:00,0.0
2025-05-20T03:30:06.286225+00:00,0.0
2025-05-20T04:30:06.284910+00:00,0.0
2025-05-20T05:30:06.283123+00:00,0.0
2025-05-20T06:30:06.291961+00:00,0.0
2025-05-20T07:30:06.290343+00:00,0.0
2025-05-20T08:30:06.440941+00:00,0.0
2025-05-20T09:30:06.281100+00:00,0.0
2025-05-20T10:30:06.276740+00:00,0.0
2025-05-20T11:30:06.273309+00:00,0.0
2025-05-20T12:30:06.287077+00:00,0.0
2025-05-20T13:30:06.276067+00:00,0.0
2025-05-20T14:30:06.373792+00:00,0.0
2025-05-20T15:30:06.284054+00:00,0.0
2025-05-20T16:30:06.298290+00:00,0.0
